hour,max_gas_price,median_gas_price,min_gas_price,p25_gas_price,p75_gas_price
2025-03-22 19:00:00.000 UTC,100000000000,479857833.6169756,2681125,4929395.984154072,1503052663.9721098
2025-03-22 18:00:00.000 UTC,208736455613,318125297.9071904,2655729,4750066.541526072,1503050372.7143433
2025-03-22 17:00:00.000 UTC,253400925441,633674396.0736703,2821181,4954033.768060005,1503270741.193648
2025-03-22 16:00:00.000 UTC,650000000000,1022745024.4580424,2780586,5250384.1585300835,1503357127.5653884
2025-03-22 15:00:00.000 UTC,2430000000000,1123705276.8284614,2793677,5522206.457332295,1503370795.1759765
2025-03-22 14:00:00.000 UTC,266319902997,987452727.4003309,2834688,5258479.249945221,1503368588.593019
2025-03-22 13:00:00.000 UTC,2620187318643,986929829.5730093,2784100,6532110.761119885,1503968139.6427083
2025-03-22 12:00:00.000 UTC,833183482281,1041256696.1122363,2752243,5174885.638714249,1503300753.0301542
2025-03-22 11:00:00.000 UTC,366653134070,862214312.8642344,2672886,5001114.02119427,1503231437.7065287
2025-03-22 10:00:00.000 UTC,252471813329,1113845074.2177877,2832052,5352947.753647168,1503339087.6148927
2025-03-22 09:00:00.000 UTC,1100000000000,1029852135.5426983,1305580,4979682.983817518,1503216885.9895546
2025-03-22 08:00:00.000 UTC,100000000000,675316727.8533756,1657761,6835869.330537602,1503822894.2967317
2025-03-22 07:00:00.000 UTC,183402280988,959487486.7793174,2875891,15418587.175482884,1511291447.9177723
2025-03-22 06:00:00.000 UTC,183401439629,1299928430.4269116,2545114,5126970.4526184015,1503136965.372154
2025-03-22 05:00:00.000 UTC,242472794456,885049931.9584793,2441862,4870660.125093987,1503098282.8959746
2025-03-22 04:00:00.000 UTC,100000000000,1104320259.9446135,2458581,5028672.175593231,1503193929.6906276
2025-03-22 03:00:00.000 UTC,1151150000000,1080430154.888655,2665370,5012687.411209802,1503145786.903691
2025-03-22 02:00:00.000 UTC,1151150000000,777355370.507628,2604430,4552286.402479925,1503187235.0318856
2025-03-22 01:00:00.000 UTC,200000000000,986143942.4199419,2591019,4486747.396217154,1503123678.31448
2025-03-22 00:00:00.000 UTC,100000000000,913592178.8065038,2722553,4675033.700299921,1503159315.3207297
2025-03-21 23:00:00.000 UTC,100000000000,467953903.9213788,2620076,4472299.205039035,1503014885.0369127
2025-03-21 22:00:00.000 UTC,250000000000,256988161.73017174,2657393,4401245.660389888,1502937086.4766676
2025-03-21 21:00:00.000 UTC,250000000000,39963505.72512975,2063899,4377198.127506608,1502640111.4618921
2025-03-21 20:00:00.000 UTC,10000000000000,828064555.5374346,2825077,37699626.43333121,1534273649.5980113
2025-03-21 19:00:00.000 UTC,100000000000,1124330750.3431463,190189358,459993110.0786268,1908872312.3794627
2025-03-21 18:00:00.000 UTC,650000000000,3875527758.3995523,543284264,2406951465.976279,8248661774.948242
2025-03-21 17:00:00.000 UTC,400000000000,17607048929.488743,5306122548,9589225749.129507,26251384537.36827
2025-03-21 16:00:00.000 UTC,221504831878,27981968288.008663,12162185174,20089739283.82351,34639070505.56022
2025-03-21 15:00:00.000 UTC,350000000000,2213234379.3672743,494922530,1244952437.6668026,2692575594.925183
2025-03-21 14:00:00.000 UTC,1151150000000,1526148139.9709089,333106987,556865594.6763511,1922902862.7088294
2025-03-21 13:00:00.000 UTC,1151150000000,1593288944.563056,331620744,617187263.2719469,2006238319.2676718
2025-03-21 12:00:00.000 UTC,1151150000000,1450337315.844511,126510907,391523603.4417292,1844042316.472601
2025-03-21 11:00:00.000 UTC,1151150000000,1162026106.4220614,91172920,140632857.28118446,1619123157.698028
2025-03-21 10:00:00.000 UTC,1800000000000,1263717823.77517,82538345,129626341.08621888,1606064346.1817915
2025-03-21 09:00:00.000 UTC,1151150000000,1422180632.1778204,32727951,117832178.91573858,1599889346.8943462
2025-03-21 08:00:00.000 UTC,1151150000000,915329486.442883,17450255,29471171.546755552,1525323723.5355527
2025-03-21 07:00:00.000 UTC,1151150000000,1092543110.181276,5711483,14369354.130323358,1511374941.996852
2025-03-21 06:00:00.000 UTC,8894003720947,850316346.0357873,2905581,5434178.358263545,1503504405.1462538
2025-03-21 05:00:00.000 UTC,1151150000000,443538015.949075,2721424,9211500.863934316,1505378339.8053381
2025-03-21 04:00:00.000 UTC,1151150000000,181364707.6159676,5880380,13555404.467661826,1509049348.6352608
2025-03-21 03:00:00.000 UTC,252294746496,1104580109.1792448,2918913,9868162.859678747,1507118295.315726
2025-03-21 02:00:00.000 UTC,100000000000,1051033158.2154776,2910691,6957303.808752286,1504383499.6174634
2025-03-21 01:00:00.000 UTC,200000000000,734904002.3112359,2958975,5256759.911992419,1503441037.5664642
2025-03-21 00:00:00.000 UTC,200000000000,19692484.83795191,2727357,4910403.31306878,1503089313.872511
2025-03-20 23:00:00.000 UTC,200000000000,530930872.00254846,2550366,4606174.822871526,1503069601.4102507
2025-03-20 22:00:00.000 UTC,650000000000,247189428.14579034,2667342,4665995.145030729,1496447152.3071625
2025-03-20 21:00:00.000 UTC,100000000000,521515428.622412,2603539,4676765.562653632,1503197074.1030307
2025-03-20 20:00:00.000 UTC,100000000000,399999911.75572246,2711055,4627197.554098232,1502996978.1430764
2025-03-20 19:00:00.000 UTC,100000000000,769786492.6696917,2800795,10974792.216342038,1507971377.3216727
2025-03-20 18:00:00.000 UTC,500000000000,789005566.5096722,17492342,54324559.98582515,1540813480.9962258
